id,anime_title,genre,type,episode,ratings
2,Vandread,"Comedy, Mecha, Sci Fi, Outer Space, Original Work",TV,13,3.5
3,The Legend of Black Heaven,"Sci Fi, Aliens, Music, Rock Music, Original Work",TV,13,2.5
4,Fist of the North Star,"Action, Shounen, Desert, Dystopia, Hand to Hand Combat, Martial Arts, Overpowered Main Characters, Post-apocalyptic, Based on a Manga",TV,109,4.0
5,Saiyuki,"Action, Adventure, Comedy, Fantasy, Shounen, Ancient China, Exorcists, Journey to the West, Based on a Manga",TV,50,5.0
6,FLCL,"Action, Comedy, Romance, Sci Fi, Coming of Age, Non-Human Protagonists, Robots, Slapstick, Original Work",OVA,6,4.0
7,Blue Submarine No. 6,"Sci Fi, Military, Ocean, Political, Real Robot, Submarine, Based on a Manga",OVA,4,5.0
8,Kiddy Grade,"Fantasy, Sci Fi, Outer Space, Superpowers, Original Work",TV,24,3.0
10,The Prince of Tennis,"Comedy, Drama, Shounen, Sports, Tennis, Based on a Manga",TV,178,4.5
11,Kimagure Orange Road,"Comedy, Romance, Shounen, Episodic, Love Triangle, Psychic Powers, School Life, Supernatural, Unrequited Love, Based on a Manga",TV,48,3.0
12,"Now and Then, Here and There","Drama, Sci Fi, Dystopia, Melancholy, Military, Person in a Strange World, Post-apocalyptic, War, Original Work",TV,13,1.0
13,Vampire Princess Miyu TV,"Fantasy, Horror, Contemporary Fantasy, Elemental Powers, Episodic, Melancholy, Monster-of-the-week, Non-Human Protagonists, Supernatural, Urban Fantasy, Vampires",TV,26,3.5
14,Shiawase-sou no Okojo-san,"Comedy, Animal Protagonists, Non-Human Protagonists, Pets, Based on a Manga",TV,52,3.0
15,Gravitation,"BL, Romance, Shoujo, Shounen-ai, Adult Couples, Cohabitation, LGBT Themes, Mature Romance, Music, Opposites Attract, Rock Music, Showbiz, Writers, Based on a Manga",TV,13,5.0
16,Akira,"Action, Sci Fi, Seinen, Cyberpunk, Dystopia, Human Experimentation, Motorcycles, Noir, Post-apocalyptic, Psychic Powers, Superpowers, Based on a Manga",Movie,1,3.5
17,Jing: King of Bandits,"Adventure, Comedy, Fantasy, Shounen, Slice of Life, Episodic, Thieves, Based on a Manga",TV,13,5.0
18,Scryed,"Action, Sci Fi, Superpowers, Original Work",TV,26,4.0
19,Pretear,"Fantasy, Magical Girl, Romance, Shoujo, Contemporary Fantasy, Elemental Powers, Henshin Heroes, Magic, Based on a Manga",TV,13,5.0
20,Irresponsible Captain Tylor,"Adventure, Comedy, Sci Fi, Aliens, Military, Outer Space, Space Opera, Based on a Light Novel",TV,26,2.0
22,Naruto,"Action, Drama, Shounen, Japanese Mythology, Ninja, Revenge, Rivalries, Based on a Manga",TV,220,3.0
23,Maison Ikkoku,"Comedy, Drama, Romance, Seinen, Apartment Life, Boarding House, Coming of Age, Love Triangle, Neighbors, Based on a Manga",TV,96,3.5
24,Urusei Yatsura,"Comedy, Romance, Sci Fi, Shounen, Slice of Life, Aliens, Cohabitation, School Life, Sudden Girlfriend Appearance, Based on a Manga",TV,195,4.0
25,Bastard!!,"Fantasy, Seinen, Dark Fantasy, Magic, Medieval, Parody, Serial Killers, Based on a Manga",OVA,6,3.5
26,Ranma 1/2,"Comedy, Harem, Romance, Shounen, Animal Transformation, Arranged Marriage, Cohabitation, Curse, Gender Bender, Martial Arts, Romantic Comedy, Tsundere, Based on a Manga",TV,161,4.5
27,Jin-Roh: The Wolf Brigade,"Action, Seinen, Guns, Military, Noir, Police, Terrorism, Thriller, Based on a Manga",Movie,1,5.0
28,Love Hina,"Comedy, Ecchi, Harem, Romance, Shounen, Apartment Life, Boarding House, Childhood Promise, Landlords, Neighbors, Romantic Comedy, Slapstick, Tsundere, Based on a Manga",TV,24,3.0
29,RahXephon,"Mecha, Romance, Sci Fi, Aliens, Conspiracy, Military, Post-apocalyptic, Psychological, Super Robot, Original Work",TV,26,5.0
30,Metropolis,"Sci Fi, Androids, Non-Human Protagonists, Robots, Based on a Manga",Movie,1,3.5
32,Someday's Dreamers,"Drama, Fantasy, Shounen, Slice of Life, Apprenticeship, Contemporary Fantasy, Iyashikei, Magic, Urban Fantasy, Based on a Manga",TV,12,3.5
33,Aquarian Age,"Drama, Mystery, Romance, Music, Based on a Card Game",TV,13,3.0
